scope,issue_flag,n_items,pct
all,partial_warrant,163,70.56277056277057
all,entity_or_attribute_confusion,80,34.63203463203463
all,numerical_or_temporal_reasoning,57,24.675324675324674
all,possible_missing_surrounding_context,45,19.48051948051948
all,negation_or_scope,25,10.822510822510823
all,multi_sentence_integration,13,5.627705627705628
all,other,10,4.329004329004329
all,possible_coreference_or_entity_resolution,8,3.463203463203463
all,possible_missing_title_context,1,0.4329004329004329
persistent,partial_warrant,103,76.86567164179104
persistent,entity_or_attribute_confusion,52,38.80597014925373
persistent,possible_missing_surrounding_context,41,30.597014925373134
persistent,numerical_or_temporal_reasoning,41,30.597014925373134
persistent,negation_or_scope,11,8.208955223880597
persistent,multi_sentence_integration,8,5.970149253731344
persistent,other,7,5.223880597014926
persistent,possible_coreference_or_entity_resolution,4,2.985074626865672
persistent,possible_missing_title_context,1,0.746268656716418
resolved,partial_warrant,60,61.855670103092784
resolved,entity_or_attribute_confusion,28,28.8659793814433
resolved,numerical_or_temporal_reasoning,16,16.49484536082474
resolved,negation_or_scope,14,14.43298969072165
resolved,multi_sentence_integration,5,5.154639175257732
resolved,possible_coreference_or_entity_resolution,4,4.123711340206185
resolved,possible_missing_surrounding_context,4,4.123711340206185
resolved,other,3,3.0927835051546393
