item_id,claim_id,cohort,regression_type,gold_label,gpt54_transition,gpt54mini_transition,consensus_A,rule_A,consensus_B,rule_B,consensus_C,rule_C,sd_confidence_A,sd_confidence_C,nli_disagrees,nli2_disagrees,weakly_warranted,cosine_sim,evidence_set_size,n_evidence_pages,claim_len_words,evidence_len_words,resolver_outcome_A,disagreement_type_A,resolver_outcome_B,disagreement_type_B,resolver_outcome_C,disagreement_type_C,resolved_by_titles,resolved_only_by_structure,still_ambiguous_after_C,reversed_after_titles,reversed_after_structure,silver_taxonomy
SA-000001,42669,rescue,,Supported,wrong_to_correct,wrong_to_correct,Supported,high_consensus,Supported,high_consensus,Supported,high_consensus,4.1182520563948,0.0,False,False,False,0.6901931762695312,1,1,11,30,,,,,,,False,False,False,False,False,silver_unresolved
SA-000002,104811,robust,,Supported,correct_to_correct,correct_to_correct,Supported,high_consensus,Supported,high_consensus,Supported,high_consensus,0.4898979485566356,0.0,False,True,False,0.8242997527122498,1,1,11,21,,,,,,,False,False,False,False,False,silver_unresolved
SA-000003,30824,rescue,,Refuted,correct_to_correct,wrong_to_correct,Refuted,high_consensus,Refuted,high_consensus,Refuted,high_consensus,0.7483314773547882,0.6324555320336759,False,True,False,0.7767238020896912,1,1,14,23,,,,,,,False,False,False,False,False,silver_unresolved
SA-000004,66075,resistant,,Supported,wrong_to_wrong,wrong_to_wrong,Refuted,high_consensus,Refuted,high_consensus,Refuted,high_consensus,1.5999999999999999,1.019803902718557,True,True,True,0.5193957090377808,2,2,8,73,,,,,,,False,False,False,False,False,silver_clear_evidence_utilization_failure
SA-000005,127969,rescue,,Supported,correct_to_correct,wrong_to_correct,Supported,high_consensus,Supported,high_consensus,Supported,high_consensus,2.2449944320643644,0.4,False,True,False,0.835939884185791,1,1,18,18,,,,,,,False,False,False,False,False,silver_unresolved
SA-000006,123238,resistant,,Supported,wrong_to_wrong,correct_to_correct,Unresolved,unresolved,Supported,high_consensus,Supported,high_consensus,8.885943956609225,3.3466401061363023,False,False,False,0.7643790245056152,1,1,9,35,Supported,semantic_conflict,,,,,True,False,False,False,False,silver_structured_evidence_sensitive
SA-000007,85924,robust,,Supported,correct_to_correct,correct_to_correct,Supported,high_consensus,Supported,high_consensus,Supported,high_consensus,1.019803902718557,0.4,False,False,False,0.8439463376998901,1,1,8,22,,,,,,,False,False,False,False,False,silver_unresolved
SA-000008,61233,robust,,Supported,correct_to_correct,correct_to_correct,Supported,high_consensus,Supported,high_consensus,Supported,high_consensus,0.8,0.6324555320336759,True,True,True,0.5032669901847839,1,1,7,21,,,,,,,False,False,False,False,False,silver_unresolved
SA-000009,68032,regression,gpt54_only,Supported,correct_to_wrong,correct_to_correct,Supported,high_consensus,Supported,high_consensus,Supported,high_consensus,0.4898979485566356,0.4,True,False,True,0.5958523154258728,1,1,6,26,,,,,,,False,False,False,False,False,silver_clear_evidence_utilization_failure
SA-000010,141758,resistant,,Supported,wrong_to_wrong,correct_to_correct,Ambiguous,ambiguous_majority,Ambiguous,ambiguous_majority,Ambiguous,ambiguous_majority,4.454211490264017,4.381780460041329,True,True,True,0.6476261615753174,1,1,9,27,Ambiguous,partial_warrant,Ambiguous,partial_warrant,Ambiguous,partial_warrant,False,False,True,False,False,silver_partial_or_ambiguous_warrant
SA-000011,44327,robust,,Supported,correct_to_correct,correct_to_correct,Supported,high_consensus,Supported,high_consensus,Supported,high_consensus,3.0724582991474434,3.059411708155671,False,False,False,0.6536345481872559,1,1,4,18,,,,,,,False,False,False,False,False,silver_unresolved
SA-000012,41656,robust,,Supported,correct_to_correct,correct_to_correct,Ambiguous,ambiguous_majority,Ambiguous,ambiguous_majority,Ambiguous,ambiguous_majority,4.923413450036469,5.2,True,True,True,0.661855936050415,1,1,7,15,Ambiguous,representation_sensitive,Ambiguous,partial_warrant,Ambiguous,partial_warrant,False,False,True,False,False,silver_partial_or_ambiguous_warrant
SA-000013,80984,resistant,,Refuted,correct_to_correct,wrong_to_wrong,Refuted,high_consensus,Refuted,high_consensus,Refuted,high_consensus,3.0983866769659336,1.5999999999999999,False,False,False,0.791696310043335,2,2,9,33,,,,,,,False,False,False,False,False,silver_clear_evidence_utilization_failure
SA-000014,70281,resistant,,Refuted,wrong_to_wrong,wrong_to_wrong,Ambiguous,ambiguous_majority,Ambiguous,ambiguous_majority,Unresolved,unresolved,6.131883886702357,9.830564581955606,False,False,False,0.6537696123123169,1,1,9,17,Ambiguous,representation_sensitive,Ambiguous,partial_warrant,Ambiguous,partial_warrant,False,False,True,False,False,silver_partial_or_ambiguous_warrant
SA-000015,193860,regression,gpt54_only,Supported,correct_to_wrong,wrong_to_wrong,Ambiguous,ambiguous_majority,Ambiguous,ambiguous_majority,Ambiguous,ambiguous_majority,13.230268326832983,8.863407922464134,True,True,True,0.6126784682273865,1,1,12,31,Ambiguous,representation_sensitive,Ambiguous,partial_warrant,Ambiguous,partial_warrant,False,False,True,False,False,silver_partial_or_ambiguous_warrant
SA-000016,207334,robust,,Supported,correct_to_correct,correct_to_correct,Unresolved,unresolved,Supported,high_consensus,Supported,high_consensus,14.77294825009551,1.2649110640673518,False,True,False,0.5842183828353882,1,1,14,16,Ambiguous,representation_sensitive,,,,,True,False,False,False,False,silver_structured_evidence_sensitive
SA-000017,120069,rescue,,Supported,correct_to_correct,wrong_to_correct,Supported,high_consensus,Supported,high_consensus,Supported,high_consensus,0.7483314773547882,0.4,False,False,False,0.7310071587562561,1,1,11,27,,,,,,,False,False,False,False,False,silver_unresolved
SA-000018,114093,resistant,,Refuted,wrong_to_wrong,wrong_to_correct,Refuted,high_consensus,Refuted,high_consensus,Refuted,high_consensus,0.7483314773547882,0.0,False,False,False,0.687427282333374,1,1,5,21,,,,,,,False,False,False,False,False,silver_clear_evidence_utilization_failure
SA-000019,66970,rescue,,Refuted,correct_to_correct,wrong_to_correct,Refuted,high_consensus,Refuted,high_consensus,Refuted,high_consensus,1.4966629547095764,1.2,True,True,True,0.5919333696365356,1,1,12,21,,,,,,,False,False,False,False,False,silver_unresolved
SA-000020,109744,rescue,,Refuted,correct_to_correct,wrong_to_correct,Refuted,high_consensus,Refuted,high_consensus,Refuted,high_consensus,0.8944271909999159,0.4,False,False,False,0.6390025615692139,1,1,11,32,,,,,,,False,False,False,False,False,silver_unresolved
SA-000021,51442,regression,gpt54_only,Refuted,correct_to_wrong,wrong_to_wrong,Refuted,high_consensus,Refuted,high_consensus,Unresolved,unresolved,4.079215610874228,12.674383614203887,True,True,True,0.7281641364097595,1,1,9,30,,,,,Ambiguous,semantic_conflict,False,False,True,False,False,silver_partial_or_ambiguous_warrant
SA-000022,206453,regression,mini_only,Refuted,correct_to_correct,correct_to_wrong,Refuted,high_consensus,Refuted,high_consensus,Refuted,high_consensus,1.0954451150103321,0.4,False,True,False,0.35649585723876953,1,1,8,18,,,,,,,False,False,False,False,False,silver_clear_evidence_utilization_failure
SA-000023,57008,robust,,Supported,correct_to_correct,correct_to_correct,Supported,high_consensus,Supported,high_consensus,Supported,high_consensus,0.8,0.4,False,False,False,0.8679049611091614,1,1,11,23,,,,,,,False,False,False,False,False,silver_unresolved
SA-000024,27117,robust,,Supported,correct_to_correct,correct_to_correct,Supported,high_consensus,Supported,high_consensus,Supported,high_consensus,1.2649110640673518,2.0,True,False,True,0.43333864212036133,1,1,14,30,,,,,,,False,False,False,False,False,silver_unresolved
SA-000025,134927,regression,mini_only,Supported,wrong_to_wrong,correct_to_wrong,Refuted,high_consensus,Refuted,high_consensus,Refuted,high_consensus,2.6532998322843198,2.039607805437114,False,False,False,0.8578590154647827,1,1,7,22,,,,,,,False,False,False,False,False,silver_clear_evidence_utilization_failure
SA-000026,77573,resistant,,Refuted,wrong_to_correct,wrong_to_wrong,Ambiguous,ambiguous_majority,Ambiguous,ambiguous_majority,Refuted,high_consensus,10.552724766618335,7.277362159464101,True,True,True,0.5686590671539307,1,1,8,64,Ambiguous,semantic_conflict,Ambiguous,semantic_conflict,,,False,True,False,False,False,silver_structured_evidence_sensitive
SA-000027,145558,robust,,Supported,correct_to_correct,correct_to_correct,Supported,high_consensus,Supported,high_consensus,Supported,high_consensus,1.5999999999999999,1.16619037896906,True,True,False,0.5693525075912476,1,1,9,29,,,,,,,False,False,False,False,False,silver_unresolved
SA-000028,63846,regression,mini_only,Refuted,correct_to_correct,correct_to_wrong,Refuted,high_consensus,Refuted,high_consensus,Refuted,high_consensus,0.8944271909999159,0.4898979485566356,True,True,True,0.3969205319881439,1,1,7,35,,,,,,,False,False,False,False,False,silver_clear_evidence_utilization_failure
SA-000029,192748,resistant,,Supported,wrong_to_wrong,wrong_to_wrong,Refuted,high_consensus,Refuted,high_consensus,Refuted,high_consensus,2.039607805437114,0.4898979485566356,True,True,True,0.2636672258377075,1,1,7,27,,,,,,,False,False,False,False,False,silver_clear_evidence_utilization_failure
SA-000030,224125,rescue,,Refuted,wrong_to_correct,wrong_to_correct,Refuted,high_consensus,Refuted,high_consensus,Refuted,high_consensus,0.9797958971132712,3.867815921162743,True,False,True,0.7500622272491455,1,1,10,61,,,,,,,False,False,False,False,False,silver_unresolved
SA-000031,30106,resistant,,Refuted,wrong_to_wrong,wrong_to_wrong,Supported,high_consensus,Supported,high_consensus,Supported,high_consensus,0.6324555320336759,0.4,True,True,True,0.7943702936172485,1,1,8,54,,,,,,,False,False,False,False,False,silver_clear_evidence_utilization_failure
SA-000032,206984,rescue,,Refuted,wrong_to_correct,wrong_to_correct,Refuted,high_consensus,Refuted,high_consensus,Refuted,high_consensus,1.0954451150103321,0.4,True,True,True,0.4855425953865051,1,1,8,30,,,,,,,False,False,False,False,False,silver_unresolved
SA-000033,92949,regression,mini_only,Refuted,correct_to_correct,correct_to_wrong,Refuted,high_consensus,Refuted,high_consensus,Refuted,high_consensus,2.33238075793812,4.223742416388575,True,True,True,0.5923343896865845,1,1,7,23,,,,,,,False,False,False,False,False,silver_clear_evidence_utilization_failure
SA-000034,69883,resistant,,Refuted,wrong_to_wrong,wrong_to_wrong,Ambiguous,ambiguous_majority,Ambiguous,ambiguous_majority,Unresolved,unresolved,13.093509842666327,16.17899873292535,True,False,True,0.6457371711730957,1,1,6,20,Ambiguous,partial_warrant,Ambiguous,partial_warrant,Ambiguous,partial_warrant,False,False,True,False,False,silver_partial_or_ambiguous_warrant
SA-000035,155807,resistant,,Supported,wrong_to_wrong,wrong_to_wrong,Refuted,high_consensus,Refuted,high_consensus,Refuted,high_consensus,0.4898979485566356,0.4898979485566356,True,True,True,0.7521756291389465,1,1,6,13,,,,,,,False,False,False,False,False,silver_clear_evidence_utilization_failure
SA-000036,29256,regression,mini_only,Refuted,wrong_to_wrong,correct_to_wrong,Unresolved,unresolved,Supported,high_consensus,Supported,high_consensus,12.387090053761618,2.6832815729997477,True,False,True,0.8207830786705017,1,1,7,32,Supported,judge_error,,,,,True,False,False,False,False,silver_structured_evidence_sensitive
SA-000037,36038,resistant,,Supported,wrong_to_wrong,wrong_to_wrong,Refuted,high_consensus,Refuted,high_consensus,Refuted,high_consensus,1.0954451150103321,0.0,True,True,True,0.7591979503631592,1,1,11,21,,,,,,,False,False,False,False,False,silver_clear_evidence_utilization_failure
SA-000038,84701,rescue,,Supported,correct_to_correct,wrong_to_correct,Supported,high_consensus,Supported,high_consensus,Supported,high_consensus,2.4979991993593593,0.4898979485566356,True,True,True,0.622281551361084,1,1,8,27,,,,,,,False,False,False,False,False,silver_unresolved
SA-000039,142462,resistant,,Supported,wrong_to_wrong,wrong_to_wrong,Refuted,high_consensus,Refuted,high_consensus,Refuted,high_consensus,0.8,0.6324555320336759,True,True,True,0.6106966733932495,1,1,9,27,,,,,,,False,False,False,False,False,silver_clear_evidence_utilization_failure
SA-000040,187789,regression,gpt54_only,Refuted,correct_to_wrong,correct_to_correct,Refuted,high_consensus,Refuted,high_consensus,Refuted,high_consensus,1.3564659966250536,1.16619037896906,False,True,False,0.8145003318786621,2,2,11,34,,,,,,,False,False,False,False,False,silver_clear_evidence_utilization_failure
SA-000041,149156,resistant,,Refuted,wrong_to_correct,wrong_to_wrong,Refuted,high_consensus,Unresolved,unresolved,Refuted,high_consensus,10.777754868245983,7.735631842325486,False,False,False,0.675493597984314,1,1,8,16,,,Refuted,judge_error,,,False,True,False,False,False,silver_structured_evidence_sensitive
SA-000042,12403,resistant,,Refuted,wrong_to_wrong,wrong_to_correct,Refuted,high_consensus,Refuted,high_consensus,Refuted,high_consensus,1.3564659966250536,0.4898979485566356,False,True,False,0.8924931287765503,1,1,13,17,,,,,,,False,False,False,False,False,silver_clear_evidence_utilization_failure
SA-000043,68569,resistant,,Supported,wrong_to_wrong,wrong_to_correct,Ambiguous,ambiguous_majority,Ambiguous,ambiguous_majority,Ambiguous,ambiguous_majority,13.181805642627264,14.358272876638054,True,True,True,0.6482166051864624,1,1,8,33,Ambiguous,partial_warrant,Ambiguous,partial_warrant,Ambiguous,partial_warrant,False,False,True,False,False,silver_partial_or_ambiguous_warrant
SA-000044,45964,resistant,,Refuted,wrong_to_wrong,wrong_to_wrong,Ambiguous,ambiguous_majority,Ambiguous,ambiguous_majority,Ambiguous,ambiguous_majority,5.230678732248808,4.664761515876241,False,False,False,0.5733282566070557,1,1,13,37,Ambiguous,partial_warrant,Ambiguous,partial_warrant,Ambiguous,partial_warrant,False,False,True,False,False,silver_partial_or_ambiguous_warrant
SA-000045,29338,resistant,,Supported,wrong_to_wrong,wrong_to_wrong,Supported,high_consensus,Supported,high_consensus,Supported,high_consensus,2.4979991993593593,2.039607805437114,False,True,False,0.592800498008728,1,1,6,12,,,,,,,False,False,False,False,False,silver_clear_evidence_utilization_failure
SA-000046,35905,resistant,,Supported,wrong_to_wrong,wrong_to_wrong,Ambiguous,ambiguous_majority,Ambiguous,ambiguous_majority,Ambiguous,ambiguous_majority,18.778711350888802,9.830564581955606,True,True,True,0.38615578413009644,1,1,8,22,Ambiguous,representation_sensitive,Unresolved,unresolved,Ambiguous,representation_sensitive,False,False,True,False,False,silver_partial_or_ambiguous_warrant
SA-000047,85066,rescue,,Refuted,correct_to_correct,wrong_to_correct,Refuted,high_consensus,Refuted,high_consensus,Refuted,high_consensus,1.16619037896906,0.4898979485566356,False,True,False,0.909497857093811,1,1,9,26,,,,,,,False,False,False,False,False,silver_unresolved
SA-000048,194358,rescue,,Refuted,correct_to_correct,wrong_to_correct,Refuted,high_consensus,Refuted,high_consensus,Refuted,high_consensus,0.8944271909999159,0.0,False,False,False,0.6401011943817139,1,1,10,27,,,,,,,False,False,False,False,False,silver_unresolved
SA-000049,51526,resistant,,Refuted,wrong_to_wrong,wrong_to_wrong,Supported,high_consensus,Supported,high_consensus,Supported,high_consensus,2.33238075793812,0.4,True,True,True,0.5710650682449341,1,1,8,18,,,,,,,False,False,False,False,False,silver_clear_evidence_utilization_failure
SA-000050,201745,robust,,Supported,correct_to_correct,correct_to_correct,Supported,high_consensus,Supported,high_consensus,Supported,high_consensus,0.8944271909999159,0.6324555320336759,False,False,False,0.8761205077171326,1,1,14,23,,,,,,,False,False,False,False,False,silver_unresolved
SA-000051,55633,regression,gpt54_only,Supported,correct_to_wrong,correct_to_correct,Ambiguous,ambiguous_majority,Ambiguous,ambiguous_majority,Ambiguous,ambiguous_majority,3.249615361854384,3.7735924528226414,True,True,True,0.8276851177215576,1,1,7,32,Ambiguous,partial_warrant,Ambiguous,partial_warrant,Ambiguous,partial_warrant,False,False,True,False,False,silver_partial_or_ambiguous_warrant
SA-000052,7138,regression,both,Refuted,correct_to_wrong,correct_to_wrong,Ambiguous,ambiguous_majority,Ambiguous,ambiguous_majority,Ambiguous,ambiguous_majority,3.0983866769659336,11.338430226446693,True,True,True,0.35108664631843567,1,1,11,53,Ambiguous,partial_warrant,Ambiguous,partial_warrant,Ambiguous,partial_warrant,False,False,True,False,False,silver_partial_or_ambiguous_warrant
SA-000053,102001,resistant,,Refuted,correct_to_correct,wrong_to_wrong,Refuted,high_consensus,Refuted,high_consensus,Refuted,high_consensus,1.4696938456699067,1.019803902718557,True,True,True,0.8406554460525513,1,1,8,16,,,,,,,False,False,False,False,False,silver_clear_evidence_utilization_failure
SA-000054,127363,resistant,,Supported,wrong_to_correct,wrong_to_wrong,Ambiguous,ambiguous_majority,Ambiguous,ambiguous_majority,Ambiguous,ambiguous_majority,3.1874754901018454,5.513619500836088,True,True,True,0.7115299105644226,1,1,7,17,Ambiguous,partial_warrant,Ambiguous,partial_warrant,Ambiguous,partial_warrant,False,False,True,False,False,silver_partial_or_ambiguous_warrant
SA-000055,79601,robust,,Supported,correct_to_correct,correct_to_correct,Supported,high_consensus,Supported,high_consensus,Supported,high_consensus,1.4966629547095764,1.2649110640673518,False,True,False,0.6429459452629089,1,1,12,27,,,,,,,False,False,False,False,False,silver_unresolved
SA-000056,183633,resistant,,Refuted,wrong_to_wrong,correct_to_correct,Ambiguous,ambiguous_majority,Ambiguous,ambiguous_majority,Unresolved,unresolved,14.691494137765567,13.965672200076874,True,False,True,0.4957955479621887,1,1,9,19,Ambiguous,representation_sensitive,Ambiguous,partial_warrant,Refuted,semantic_conflict,False,False,True,False,False,silver_partial_or_ambiguous_warrant
SA-000057,99033,rescue,,Refuted,wrong_to_correct,wrong_to_correct,Refuted,high_consensus,Refuted,high_consensus,Refuted,high_consensus,1.019803902718557,0.4,False,False,False,0.8168880939483643,1,1,9,21,,,,,,,False,False,False,False,False,silver_unresolved
SA-000058,70386,robust,,Supported,correct_to_correct,correct_to_correct,Supported,high_consensus,Ambiguous,ambiguous_majority,Unresolved,unresolved,1.2649110640673518,12.172099243762352,True,True,True,0.6201391816139221,1,1,16,15,,,Ambiguous,representation_sensitive,Ambiguous,partial_warrant,False,False,True,False,False,silver_partial_or_ambiguous_warrant
SA-000059,189762,rescue,,Supported,wrong_to_correct,wrong_to_correct,Ambiguous,ambiguous_majority,Ambiguous,ambiguous_majority,Ambiguous,ambiguous_majority,2.993325909419153,4.5431266766402185,True,True,True,0.7570840120315552,1,1,18,21,Ambiguous,partial_warrant,Ambiguous,partial_warrant,Ambiguous,partial_warrant,False,False,True,False,False,silver_partial_or_ambiguous_warrant
SA-000060,45124,rescue,,Refuted,correct_to_correct,wrong_to_correct,Refuted,high_consensus,Refuted,high_consensus,Refuted,high_consensus,1.5999999999999999,1.3564659966250536,False,False,False,0.6424728631973267,1,1,9,21,,,,,,,False,False,False,False,False,silver_unresolved
SA-000061,183938,regression,mini_only,Refuted,correct_to_correct,correct_to_wrong,Refuted,high_consensus,Refuted,high_consensus,Refuted,high_consensus,1.019803902718557,0.4,True,True,True,0.8876315355300903,1,1,8,24,,,,,,,False,False,False,False,False,silver_clear_evidence_utilization_failure
SA-000062,34396,resistant,,Refuted,wrong_to_wrong,wrong_to_wrong,Ambiguous,ambiguous_majority,Ambiguous,ambiguous_majority,Supported,high_consensus,3.249615361854384,11.35957745693034,False,False,False,0.8218837976455688,1,1,7,30,Ambiguous,partial_warrant,Ambiguous,representation_sensitive,,,False,True,False,False,False,silver_structured_evidence_sensitive
SA-000063,84105,robust,,Supported,correct_to_correct,correct_to_correct,Supported,high_consensus,Supported,high_consensus,Supported,high_consensus,2.33238075793812,1.4696938456699067,True,True,True,0.6852278709411621,1,1,13,18,,,,,,,False,False,False,False,False,silver_unresolved
SA-000064,133360,resistant,,Supported,correct_to_correct,wrong_to_wrong,Ambiguous,ambiguous_majority,Ambiguous,ambiguous_majority,Ambiguous,ambiguous_majority,3.7094473981982814,5.642694391866354,True,True,True,0.3511524796485901,1,1,7,22,Ambiguous,representation_sensitive,Ambiguous,partial_warrant,Ambiguous,partial_warrant,False,False,True,False,False,silver_partial_or_ambiguous_warrant
SA-000065,37945,rescue,,Supported,wrong_to_correct,wrong_to_correct,Supported,high_consensus,Supported,high_consensus,Supported,high_consensus,15.778466338652818,1.7204650534085253,True,True,True,0.5349456071853638,1,1,6,9,,,,,,,False,False,False,False,False,silver_unresolved
