claude_item_id,consensus_A,consensus_B,consensus_C,rule_A,rule_B,rule_C,ambiguous_A,ambiguous_B,ambiguous_C,resolved_by_titles,resolved_only_by_structure,still_ambiguous_after_C,reversed_after_titles,reversed_after_structure,mean_confidence_A,sd_confidence_A,mean_confidence_B,sd_confidence_B,mean_confidence_C,sd_confidence_C,claude_taxonomy,claude_broad,source_item_id,claim_id,order,cohort,regression_type,gold_label,gpt54_transition,gpt54mini_transition,grok_consensus_A,grok_consensus_B,grok_consensus_C,grok_rule_A,grok_rule_C,grok_taxonomy,grok_resolved_by_titles,grok_resolved_only_by_structure,grok_still_ambiguous_after_C,grok_reversed_after_titles,grok_reversed_after_structure,nli_disagrees,nli2_disagrees,grok_broad,grok_ambiguous_A,grok_ambiguous_B,grok_ambiguous_C
CF-000001,Refuted,Refuted,Refuted,high_consensus,high_consensus,high_consensus,False,False,False,False,False,False,False,False,91.6,1.8547236990991407,92.8,0.7483314773547882,92.4,0.4898979485566356,silver_clear_evidence_utilization_failure,evidence_utilization_failure,SA-000502,192975,1,regression,mini_only,Refuted,correct_to_correct,correct_to_wrong,Refuted,Refuted,Refuted,high_consensus,high_consensus,silver_clear_evidence_utilization_failure,False,False,False,False,False,False,False,evidence_utilization_failure,False,False,False
CF-000002,Supported,Supported,Supported,high_consensus,high_consensus,high_consensus,False,False,False,False,False,False,False,False,80.4,1.4966629547095764,76.4,1.3564659966250536,75.4,2.9393876913398134,silver_clear_evidence_utilization_failure,evidence_utilization_failure,SA-000610,67721,2,regression,mini_only,Supported,correct_to_correct,correct_to_wrong,Ambiguous,Supported,Supported,ambiguous_majority,high_consensus,silver_structured_evidence_sensitive,True,False,False,False,False,True,True,representation_sensitive,True,False,False
CF-000003,Refuted,Refuted,Refuted,high_consensus,high_consensus,high_consensus,False,False,False,False,False,False,False,False,75.6,5.0039984012787215,73.2,3.249615361854384,75.0,2.6832815729997477,silver_clear_evidence_utilization_failure,evidence_utilization_failure,SA-000102,140067,3,regression,gpt54_only,Refuted,correct_to_wrong,wrong_to_wrong,Refuted,Refuted,Refuted,high_consensus,high_consensus,silver_clear_evidence_utilization_failure,False,False,False,False,False,True,True,evidence_utilization_failure,False,False,False
CF-000004,Supported,Supported,Supported,high_consensus,high_consensus,high_consensus,False,False,False,False,False,False,False,False,70.0,0.0,64.4,3.878143885933063,59.8,2.85657137141714,silver_clear_evidence_utilization_failure,evidence_utilization_failure,SA-000309,109563,4,regression,mini_only,Supported,correct_to_correct,correct_to_wrong,Supported,Ambiguous,Ambiguous,high_consensus,ambiguous_majority,silver_partial_or_ambiguous_warrant,False,False,True,False,False,True,True,residual_ambiguity,False,True,True
CF-000005,Supported,Supported,Supported,high_consensus,high_consensus,high_consensus,False,False,False,False,False,False,False,False,68.8,2.039607805437114,67.8,2.4,67.8,1.5999999999999999,silver_clear_evidence_utilization_failure,evidence_utilization_failure,SA-000494,117369,5,regression,gpt54_only,Refuted,correct_to_wrong,correct_to_correct,Supported,Supported,Supported,high_consensus,high_consensus,silver_clear_evidence_utilization_failure,False,False,False,False,False,False,False,evidence_utilization_failure,False,False,False
CF-000006,Ambiguous,Supported,Supported,ambiguous_weak_sufficiency,high_consensus,high_consensus,True,False,False,True,False,False,False,False,59.6,4.079215610874228,62.4,3.2,62.6,3.2,silver_structured_evidence_sensitive,representation_sensitive,SA-000631,50486,6,regression,gpt54_only,Supported,correct_to_wrong,correct_to_correct,Ambiguous,Ambiguous,Ambiguous,ambiguous_majority,ambiguous_majority,silver_partial_or_ambiguous_warrant,False,False,True,False,False,True,True,residual_ambiguity,True,True,True
CF-000007,Supported,Supported,Supported,high_consensus,high_consensus,high_consensus,False,False,False,False,False,False,False,False,73.4,1.2,76.8,3.4871191548325386,67.8,3.919183588453085,silver_clear_evidence_utilization_failure,evidence_utilization_failure,SA-000922,135291,7,regression,mini_only,Refuted,wrong_to_wrong,correct_to_wrong,Unresolved,Supported,Supported,unresolved,high_consensus,silver_structured_evidence_sensitive,True,False,False,False,False,True,True,representation_sensitive,True,False,False
CF-000008,Ambiguous,Ambiguous,Ambiguous,ambiguous_majority,ambiguous_majority,ambiguous_majority,True,True,True,False,False,True,False,False,59.0,2.3664319132398464,60.6,5.043808085167396,59.2,0.9797958971132712,silver_partial_or_ambiguous_warrant,residual_ambiguity,SA-000414,224191,8,regression,mini_only,Refuted,correct_to_correct,correct_to_wrong,Ambiguous,Ambiguous,Ambiguous,ambiguous_majority,ambiguous_majority,silver_partial_or_ambiguous_warrant,False,False,True,False,False,False,True,residual_ambiguity,True,True,True
CF-000009,Ambiguous,Ambiguous,Ambiguous,ambiguous_majority,ambiguous_majority,ambiguous_majority,True,True,True,False,False,True,False,False,56.2,1.4696938456699067,56.2,1.4696938456699067,57.0,2.756809750418044,silver_partial_or_ambiguous_warrant,residual_ambiguity,SA-000881,14800,9,regression,both,Supported,correct_to_wrong,correct_to_wrong,Ambiguous,Ambiguous,Ambiguous,ambiguous_majority,ambiguous_majority,silver_partial_or_ambiguous_warrant,False,False,True,False,False,True,True,residual_ambiguity,True,True,True
CF-000010,Refuted,Refuted,Refuted,high_consensus,high_consensus,high_consensus,False,False,False,False,False,False,False,False,91.6,0.8,91.2,0.9797958971132712,91.2,1.6,silver_clear_evidence_utilization_failure,evidence_utilization_failure,SA-000719,142286,10,regression,mini_only,Supported,wrong_to_wrong,correct_to_wrong,Refuted,Refuted,Refuted,high_consensus,high_consensus,silver_clear_evidence_utilization_failure,False,False,False,False,False,True,True,evidence_utilization_failure,False,False,False
