item_id,claim_id
SA-000001,42669
SA-000002,104811
SA-000003,30824
SA-000004,66075
SA-000005,127969
SA-000006,123238
SA-000007,85924
SA-000008,61233
SA-000009,68032
SA-000010,141758
SA-000011,44327
SA-000012,41656
SA-000013,80984
SA-000014,70281
SA-000015,193860
SA-000016,207334
SA-000017,120069
SA-000018,114093
SA-000019,66970
SA-000020,109744
SA-000021,51442
SA-000022,206453
SA-000023,57008
SA-000024,27117
SA-000025,134927
SA-000026,77573
SA-000027,145558
SA-000028,63846
SA-000029,192748
SA-000030,224125
SA-000031,30106
SA-000032,206984
SA-000033,92949
SA-000034,69883
SA-000035,155807
SA-000036,29256
SA-000037,36038
SA-000038,84701
SA-000039,142462
SA-000040,187789
SA-000041,149156
SA-000042,12403
SA-000043,68569
SA-000044,45964
SA-000045,29338
SA-000046,35905
SA-000047,85066
SA-000048,194358
SA-000049,51526
SA-000050,201745
SA-000051,55633
SA-000052,7138
SA-000053,102001
SA-000054,127363
SA-000055,79601
SA-000056,183633
SA-000057,99033
SA-000058,70386
SA-000059,189762
SA-000060,45124
SA-000061,183938
SA-000062,34396
SA-000063,84105
SA-000064,133360
SA-000065,37945
SA-000066,217666
SA-000067,217194
SA-000068,105176
SA-000069,175874
SA-000070,152133
SA-000071,48810
SA-000072,172466
SA-000073,168537
SA-000074,39811
SA-000075,222770
SA-000076,129570
SA-000077,14286
SA-000078,116588
SA-000079,48658
SA-000080,175468
SA-000081,86159
SA-000082,34180
SA-000083,12748
SA-000084,95738
SA-000085,65748
SA-000086,220207
SA-000087,187390
SA-000088,168539
SA-000089,194922
SA-000090,110242
SA-000091,134916
SA-000092,8581
SA-000093,151241
SA-000094,120655
SA-000095,161220
SA-000096,39977
SA-000097,182281
SA-000098,200291
SA-000099,201460
SA-000100,207526
SA-000101,211025
SA-000102,140067
SA-000103,214258
SA-000104,222763
SA-000105,154542
SA-000106,14901
SA-000107,52907
SA-000108,120173
SA-000109,68483
SA-000110,19721
SA-000111,204449
SA-000112,71722
SA-000113,142025
SA-000114,149284
SA-000115,48815
SA-000116,87023
SA-000117,77686
SA-000118,211007
SA-000119,71159
SA-000120,202773
SA-000121,166922
SA-000122,87383
SA-000123,48276
SA-000124,95271
SA-000125,84154
SA-000126,212217
SA-000127,203621
SA-000128,88865
SA-000129,106162
SA-000130,132874
SA-000131,142735
SA-000132,167178
SA-000133,123411
SA-000134,156803
SA-000135,160414
SA-000136,70412
SA-000137,194241
SA-000138,144602
SA-000139,22639
SA-000140,183456
SA-000141,91843
SA-000142,35174
