claim_id,claim_text,gold_label,gpt-5.4_transition,cluster
83,Honeymoon is the third major-label record by Lana Del Rey.,Refuted,wrong_to_wrong,1
369,The State of Palestine claims a territory in Western Asia.,Refuted,wrong_to_wrong,0
573,Doxycycline may not cause vomiting.,Refuted,wrong_to_wrong,-1
1076,James Jones missed the finals once.,Supported,wrong_to_wrong,-1
1667,Ed Wood is not about the eponymous filmmaker.,Supported,wrong_to_wrong,-1
3063,Ronaldinho has played 90 matches.,Supported,wrong_to_wrong,-1
4041,Jayasudha stars in Daag.,Supported,correct_to_wrong,-1
4100,Sonny & Cher began in the mid-1930's.,Supported,wrong_to_wrong,-1
4537,"Eric Church died on May 3, 1977.",Supported,wrong_to_wrong,-1
7138,The Tenth Doctor travels alone during the time period 2009-2010.,Refuted,correct_to_wrong,-1
7278,Exit the King is by man.,Supported,wrong_to_wrong,-1
8505,Jenna Jameson was photographed in the past.,Supported,correct_to_wrong,-1
8864,Great white sharks have never killed people.,Supported,wrong_to_wrong,0
8870,"Pharmacology deals with the research, discovery, and characterization of turnips which show biological effects.",Supported,wrong_to_wrong,0
9235,Wilhelmina Slater is portrayed in a period romance television series.,Supported,wrong_to_wrong,-1
9410,In the End was released in 2000.,Supported,correct_to_wrong,-1
9680,There is a software called Adobe Photoshop.,Supported,correct_to_wrong,-1
10689,Cleopatre premiered in a manner.,Refuted,correct_to_wrong,0
12015,Floyd Mayweather Jr. has made 30 career boxing knockouts.,Supported,wrong_to_wrong,-1
12089,The abandonment of populated areas due to rising sea levels is caused by Global warming.,Supported,correct_to_wrong,-1
12403,The Challenge XXX: Dirty 30 is a contestant in a reality game show.,Refuted,wrong_to_wrong,2
12467,SpongeBob SquarePants is not the most distributed property of MTV Networks.,Supported,wrong_to_wrong,-1
12748,The ruins of the ancient Roman town of Herculaneum lie two hundred miles from Naples.,Supported,wrong_to_wrong,0
13076,The White House Press Secretary's primary responsibility is to be a father.,Supported,wrong_to_wrong,-1
13929,The WWE created it's developmental brand NXT after the start of the NXT Tag Team Championship.,Supported,wrong_to_wrong,-1
14286,Pearl (Steven Universe) projects a holographic butterfly.,Refuted,wrong_to_wrong,0
14430,Pocahontas was the daughter of the paramount chief of Wahunsenacah.,Refuted,wrong_to_wrong,-1
14501,Qin dynasty introduced several legislation.,Supported,correct_to_wrong,0
14800,Benjamin Franklin was a spokesman.,Supported,correct_to_wrong,-1
14855,"Rupert Murdoch is a broadcaster, forming BSkyB.",Refuted,wrong_to_wrong,-1
15155,Luke Cage did not team up with Iron Fist.,Supported,wrong_to_wrong,0
17124,Edmund H. North won an Academy Award for Best Screenplay.,Supported,correct_to_wrong,2
17847,The Road to El Dorado is an artistic work.,Refuted,wrong_to_wrong,0
18030,Floyd Mayweather Jr. has made 30 career boxing knockouts in different special event professional boxing fights.,Supported,wrong_to_wrong,-1
19177,Victoria Palace Theatre is on the same side as a central London railway terminus.,Refuted,wrong_to_wrong,-1
20603,"Yemen does not have an area of 203,850 square miles.",Supported,correct_to_wrong,0
21033,Victoria Palace Theatre is on the same side of Victoria Station.,Refuted,wrong_to_wrong,-1
21716,"Camp Flog Gnaw is attended by Tyler, The Creator and Odd Future.",Supported,correct_to_wrong,3
21784,Arjit Singh is Indian.,Supported,correct_to_wrong,-1
21959,"The Incredibles 2 is scheduled to be released at 2 p. m. on June 15, 2018.",Supported,wrong_to_wrong,2
22639,Mellila is a city in the country of Spain.,Refuted,wrong_to_wrong,0
23210,Internet access requires the use of hardware like computer terminals.,Refuted,wrong_to_wrong,-1
24271,The New York Knicks are in the Atlantic Division of the National Press Club's Eastern Conference.,Supported,wrong_to_wrong,0
24795,The Beverly Hillbillies ranked among the top 10 most watched programs on television.,Refuted,wrong_to_wrong,-1
25408,The Bloods is narrowly known for its rivalry with the Crips.,Refuted,wrong_to_wrong,-1
