claude_item_id,claude_consensus,claude_rule,n_supported,n_refuted,n_ambiguous,mean_confidence,sd_confidence,modal_sufficiency,issue_flags,source_item_id,order,claim_id,cohort,regression_type,gold_label,gpt54_transition,gpt54mini_transition,consensus_A,rule_A,consensus_B,rule_B,cursor_consensus_C,cursor_rule_C,sd_confidence_A,sd_confidence_C,nli_disagrees,nli2_disagrees,weakly_warranted,cosine_sim,evidence_set_size,n_evidence_pages,claim_len_words,evidence_len_words,resolver_outcome_A,disagreement_type_A,resolver_outcome_B,disagreement_type_B,resolver_outcome_C,disagreement_type_C,resolved_by_titles,resolved_only_by_structure,still_ambiguous_after_C,reversed_after_titles,reversed_after_structure,silver_taxonomy,item_id,claude_ambiguous,claude_decisive,claude_high_decisive,cross_family_taxonomy,claude_agrees_fever,cross_family_taxonomy_fever
CR-000001,Supported,high_consensus,5,0,0,79.2,2.0396078054371136,probably_sufficient,partial_warrant;possible_coreference_or_entity_resolution,SA-000619,1,128539,resistant,,Refuted,correct_to_correct,wrong_to_wrong,Ambiguous,ambiguous_majority,Ambiguous,ambiguous_majority,Ambiguous,ambiguous_majority,9.414881836751857,9.431860898041277,False,True,False,0.4988951086997986,1,1,5,46,Ambiguous,partial_warrant,Ambiguous,semantic_conflict,Ambiguous,partial_warrant,False,False,True,False,False,silver_partial_or_ambiguous_warrant,CR-000001,False,True,True,grok_only_ambiguity,False,cross_family_decisive_feverdifferent
CR-000002,Ambiguous,ambiguous_majority,0,0,5,59.6,3.8262252939417984,partial_or_ambiguous,partial_warrant;possible_missing_surrounding_context,SA-000946,2,113712,regression,both,Supported,correct_to_wrong,correct_to_wrong,Ambiguous,ambiguous_majority,Ambiguous,ambiguous_majority,Unresolved,unresolved,21.181123671797963,15.894653189044421,True,False,True,0.7079764008522034,1,1,7,35,Ambiguous,partial_warrant,Ambiguous,partial_warrant,Ambiguous,partial_warrant,False,False,True,False,False,silver_partial_or_ambiguous_warrant,CR-000002,True,False,False,cross_family_persistent_ambiguity,,cross_family_persistent_ambiguity
CR-000003,Supported,high_consensus,5,0,0,79.0,4.0,probably_sufficient,entity_or_attribute_confusion,SA-000103,3,214258,resistant,,Refuted,correct_to_correct,wrong_to_wrong,Ambiguous,ambiguous_majority,Ambiguous,ambiguous_majority,Ambiguous,ambiguous_majority,6.881860213634101,3.2,False,False,False,0.8166143298149109,1,1,8,28,Ambiguous,partial_warrant,Ambiguous,partial_warrant,Ambiguous,partial_warrant,False,False,True,False,False,silver_partial_or_ambiguous_warrant,CR-000003,False,True,True,grok_only_ambiguity,False,cross_family_decisive_feverdifferent
CR-000004,Supported,high_consensus,5,0,0,63.6,3.878143885933063,partial_or_ambiguous,entity_or_attribute_confusion;partial_warrant,SA-000014,4,70281,resistant,,Refuted,wrong_to_wrong,wrong_to_wrong,Ambiguous,ambiguous_majority,Ambiguous,ambiguous_majority,Unresolved,unresolved,6.131883886702357,9.830564581955606,False,False,False,0.6537696123123169,1,1,9,17,Ambiguous,representation_sensitive,Ambiguous,partial_warrant,Ambiguous,partial_warrant,False,False,True,False,False,silver_partial_or_ambiguous_warrant,CR-000004,False,True,True,grok_only_ambiguity,False,cross_family_decisive_feverdifferent
CR-000005,Supported,high_consensus,5,0,0,70.8,2.993325909419153,probably_sufficient,partial_warrant,SA-000636,5,26687,resistant,,Refuted,wrong_to_wrong,wrong_to_wrong,Ambiguous,ambiguous_majority,Ambiguous,ambiguous_majority,Unresolved,unresolved,6.64529909033446,12.425779653607254,True,True,True,0.6871713995933533,1,1,16,27,Ambiguous,partial_warrant,Ambiguous,partial_warrant,Ambiguous,partial_warrant,False,False,True,False,False,silver_partial_or_ambiguous_warrant,CR-000005,False,True,True,grok_only_ambiguity,False,cross_family_decisive_feverdifferent
CR-000006,Ambiguous,ambiguous_majority,0,0,5,69.6,0.8,partial_or_ambiguous,numerical_or_temporal_reasoning;partial_warrant;possible_missing_surrounding_context,SA-000481,6,111938,regression,mini_only,Supported,wrong_to_wrong,correct_to_wrong,Ambiguous,ambiguous_majority,Ambiguous,ambiguous_majority,Ambiguous,ambiguous_majority,16.049922118191105,13.272528018429647,True,True,True,0.5986158847808838,1,1,14,72,Ambiguous,partial_warrant,Ambiguous,partial_warrant,Ambiguous,partial_warrant,False,False,True,False,False,silver_partial_or_ambiguous_warrant,CR-000006,True,False,False,cross_family_persistent_ambiguity,,cross_family_persistent_ambiguity
CR-000007,Ambiguous,ambiguous_majority,0,0,5,63.8,2.039607805437114,partial_or_ambiguous,entity_or_attribute_confusion;partial_warrant;possible_missing_surrounding_context,SA-000521,7,171521,resistant,,Supported,wrong_to_wrong,wrong_to_wrong,Ambiguous,ambiguous_majority,Ambiguous,ambiguous_majority,Ambiguous,ambiguous_majority,10.762899237658969,4.963869458396343,True,True,True,0.42878562211990356,1,1,11,23,Ambiguous,partial_warrant,Ambiguous,partial_warrant,Ambiguous,partial_warrant,False,False,True,False,False,silver_partial_or_ambiguous_warrant,CR-000007,True,False,False,cross_family_persistent_ambiguity,,cross_family_persistent_ambiguity
CR-000008,Supported,high_consensus,5,0,0,85.0,0.6324555320336759,probably_sufficient,possible_coreference_or_entity_resolution,SA-000293,8,216392,resistant,,Supported,wrong_to_wrong,wrong_to_correct,Ambiguous,ambiguous_majority,Ambiguous,ambiguous_majority,Ambiguous,ambiguous_majority,11.313708498984761,4.963869458396342,True,True,True,0.7312753796577454,1,1,11,20,Ambiguous,partial_warrant,Ambiguous,representation_sensitive,Ambiguous,partial_warrant,False,False,True,False,False,silver_partial_or_ambiguous_warrant,CR-000008,False,True,True,grok_only_ambiguity,True,cross_family_decisive_feversame
CR-000009,Ambiguous,ambiguous_majority,0,0,5,69.6,1.4966629547095764,probably_insufficient,numerical_or_temporal_reasoning;possible_missing_surrounding_context,SA-000835,9,204654,regression,gpt54_only,Supported,correct_to_wrong,correct_to_correct,Ambiguous,ambiguous_majority,Ambiguous,ambiguous_majority,Ambiguous,ambiguous_majority,30.711561340967346,21.599999999999998,True,True,True,0.5566842555999756,1,1,11,20,Unresolved,unresolved,Ambiguous,partial_warrant,Unresolved,unresolved,False,False,True,False,False,silver_partial_or_ambiguous_warrant,CR-000009,True,False,False,cross_family_persistent_ambiguity,,cross_family_persistent_ambiguity
CR-000010,Ambiguous,ambiguous_majority,0,0,5,62.2,2.0396078054371136,partial_or_ambiguous,multi_sentence_integration;numerical_or_temporal_reasoning;partial_warrant,SA-000917,10,106668,resistant,,Supported,wrong_to_wrong,wrong_to_wrong,Ambiguous,ambiguous_majority,Ambiguous,ambiguous_majority,Ambiguous,ambiguous_majority,11.29601699715435,9.23038460737146,True,True,True,0.34541013836860657,5,5,7,230,Ambiguous,partial_warrant,Ambiguous,partial_warrant,Ambiguous,partial_warrant,False,False,True,False,False,silver_partial_or_ambiguous_warrant,CR-000010,True,False,False,cross_family_persistent_ambiguity,,cross_family_persistent_ambiguity
